id;content;filesize;length;target
./samples/1053.txt;E admin building there? I might b slightly earlier... I'll call u when i'm reaching...;92;86;ham
./samples/1047.txt;Can come my room but cannot come my house cos my house still messy... Haha...;83;77;ham
./samples/289.txt;Yunny i'm walking in citylink now � faster come down... Me very hungry...;79;73;ham
./samples/504.txt;� eatin later but i'm eatin wif my frens now lei... � going home first? ;78;72;ham
./samples/262.txt;"ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX";108;102;ham
./samples/276.txt;No probs hon! How u doinat the mo?;40;34;ham
./samples/510.txt;Havent shopping now lor i juz arrive only;47;41;ham
./samples/538.txt;Nothin comes to my mind. � help me buy hanger lor. Ur laptop not heavy?;77;71;ham
./samples/909.txt;Yup. Thk of u oso boring wat.;35;29;ham
./samples/921.txt;At home also.;19;13;ham
./samples/935.txt;Thanx a lot...;20;14;ham
./samples/706.txt;Thanx 4 e brownie it's v nice...;38;32;ham
./samples/712.txt;Yup no more already... Thanx 4 printing n handing it up.;62;56;ham
./samples/29.txt;You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327;76;69;spam
./samples/869.txt;Finish liao... U?;23;17;ham
./samples/15.txt;Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688;97;90;spam
./samples/855.txt;Yup n her fren lor. I'm meeting my fren at 730.;53;47;ham
./samples/699.txt;I've reached sch already...;33;27;ham
./samples/841.txt;In e msg jus now. U said thanks for gift.;47;41;ham
./samples/114.txt;"Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry";128;122;ham
./samples/672.txt;Ok.. � finishing soon?;28;22;ham
./samples/666.txt;How r � going to send it to me?;37;31;ham
./samples/100.txt;Thanx 4 the time we�ve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx;91;85;ham
./samples/128.txt;Im in inperialmusic listening2the weirdest track ever by�leafcutter john�-sounds like insects being molested&someone plumbing,remixed by evil men on acid!;160;154;ham
./samples/896.txt;Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.;74;68;ham
./samples/882.txt;Then wat r u doing now? Busy wif work?;44;38;ham
./samples/470.txt;Not directly behind... Abt 4 rows behind �...;51;45;ham
./samples/316.txt;Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...;64;58;ham
./samples/302.txt;Hey gals...U all wanna meet 4 dinner at n�te? ;52;46;ham
./samples/464.txt;Leave it wif me lar... � wan to carry meh so heavy... Is da num 98321561 familiar to �?;93;87;ham
./samples/458.txt;Got smaller capacity one? Quite ex...;43;37;ham
./samples/459.txt;Ok thanx...;17;11;ham
./samples/303.txt;Jos ask if u wana meet up?;32;26;ham
./samples/465.txt;I tot it's my group mate... Lucky i havent reply... Wat time do � need to leave... ;89;83;ham
./samples/471.txt;� go home liao? Ask dad to pick me up at 6...;51;45;ham
./samples/317.txt;Wah... Okie okie... Muz make use of e unlimited... Haha... ;65;59;ham
./samples/883.txt;Yup but it's not giving me problems now so mayb i'll jus leave it...;74;68;ham
./samples/129.txt;HI DARLIN HOW WAS WORK DID U GET INTO TROUBLE? IJUST TALKED TO YOUR MUM ALL MORNING! I HAD A REALLY GOOD TIME LAST NIGHT IM GOIN OUT SOON BUT CALL ME IF U CAN;164;158;ham
./samples/897.txt;Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?;97;91;ham
./samples/667.txt;Forgot to tell � smth.. Can � like number the sections so that it's clearer..;83;77;ham
./samples/101.txt;You stayin out of trouble stranger!!saw Dave the other day he�s sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA! ;167;161;ham
./samples/115.txt;Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx;108;102;ham
./samples/673.txt;So �'ll be submitting da project tmr rite?;48;42;ham
./samples/840.txt;Jus came back fr lunch wif my sis only. U leh?;52;46;ham
./samples/698.txt;I went to ur hon lab but no one is there.;47;41;ham
./samples/854.txt;I like dis sweater fr mango but no more my size already so irritating.;76;70;ham
./samples/14.txt;09066362231 URGENT! Your mobile No 07xxxxxxxxx won a �2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!;159;152;spam
./samples/868.txt;Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.;87;81;ham
